company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Bajaj Finance,4.0,6.2k,20,287,"Salary & Benefits, Skill Development / Learning, Job Security",
ICICI Prudential Life Insurance,4.1,5.9k,--,352,"Job Security, Skill Development / Learning, Salary & Benefits",
Wells Fargo,3.9,5.9k,38,516,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Jana Small Finance Bank,3.8,5.8k,58,232,,
Amazon Development Centre India,4.1,5.8k,14,649,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Lupin,4.2,5.7k,62,326,"Skill Development / Learning, Company Culture, Work Life Balance",
Zydus Lifesciences,4.2,5.7k,32,288,"Skill Development / Learning, Salary & Benefits, Job Security",
Delhivery,3.9,5.7k,112,424,Skill Development / Learning,Promotions / Appraisal
L&T Construction,4.0,5.6k,--,659,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
JPMorgan Chase & Co.,4.1,5.6k,693,699,"Job Security, Company Culture, Skill Development / Learning",
Sun Pharmaceutical Industries,4.1,5.5k,148,368,"Job Security, Salary & Benefits, Skill Development / Learning",
Hexaware Technologies,3.6,5.4k,325,689,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HCL Group,3.7,5.3k,1,429,Job Security,"Promotions / Appraisal, Salary & Benefits"
JSW Steel,4.0,5.3k,74,532,"Job Security, Skill Development / Learning",Promotions / Appraisal
ITC,4.0,5.3k,25,524,"Job Security, Skill Development / Learning",Promotions / Appraisal
Muthoot Fincorp,4.4,5.3k,50,294,"Skill Development / Learning, Company Culture, Job Security",
FIS,3.9,5.2k,192,447,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Indian Army,4.7,5.2k,--,144,"Job Security, Company Culture, Skill Development / Learning",
Hindustan Unilever,4.2,5.2k,12,335,"Skill Development / Learning, Job Security, Company Culture",
IIFL Finance,4.0,5.1k,60,242,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
